Full_Ensemble,No_GMM,No_KMeans,No_Hierarchical,Unweighted,k
0.5595811820206213,0.6690580128036397,0.6690580128036397,0.5595811820206213,0.5595811820206213,2
0.3725796474828411,0.3725796474828411,0.3295088014386538,0.3725796474828411,0.3725796474828411,3
0.4664130414333602,0.4664130414333602,0.4664130414333602,0.22098540583567977,0.19625421207526456,4
0.4648838797369216,0.4648838797369216,0.4648838797369216,0.21463144844254783,0.17765558448105975,5
0.3591502408976172,0.3591502408976172,0.3591502408976172,0.20807953205867272,0.1343051267511195,6
0.3247549519620558,0.3247549519620558,0.3247549519620558,0.16751187280213112,0.09197587396644916,7
0.14769887704716161,0.2577322433075617,0.2577322433075617,0.1844493241460887,0.1329639627359976,8
0.14429162273113746,0.2549598593883896,0.2549598593883896,0.18885544070162047,0.1741377028614617,9
0.25669797628015556,0.25669797628015556,0.25669797628015556,0.14875672964087097,0.1327838324954094,10
0.2453413967994611,0.2453413967994611,0.2453413967994611,0.14123500798940336,0.1323167597424569,11
0.23912368295480801,0.23912368295480801,0.23912368295480801,0.14261489279679437,0.13124450175572594,12
0.21889149808794783,0.21889149808794783,0.21889149808794783,0.13864693716934648,0.027396590072966354,13
0.2104245705299145,0.2104245705299145,0.2104245705299145,0.14612118258903103,0.08329552668664955,14
0.17649353555037448,0.17649353555037448,0.17649353555037448,0.13520668214284812,0.04835274234161927,15
0.1751915722009525,0.1751915722009525,0.1751915722009525,0.12737742243030947,0.07485772145320124,16
0.18236071794410344,0.18236071794410344,0.18236071794410344,0.12847810005108748,0.08804421285482499,17
0.13741660149616483,0.13741660149616483,0.12299617805903526,0.13741660149616483,0.028371206778668893,18
0.14080294880359634,0.14080294880359634,0.11989740804773086,0.14080294880359634,0.04521832738291824,19
0.1373211748741393,0.1373211748741393,0.12572077730105188,0.1373211748741393,0.045620083730015824,20
