Full_Ensemble,No_GMM,No_KMeans,No_Hierarchical,Unweighted,k
0.6055167460742481,0.6055167460742481,0.6055167460742481,0.6055167460742481,0.6055167460742481,2
0.5827160558085756,0.5827160558085756,0.5827160558085756,0.23885339421632043,0.23880492616022492,3
0.5177799523353065,0.5177799523353065,0.5177799523353065,0.24273497630502622,0.19725314219566903,4
0.23754778635480928,0.28427842939759423,0.28427842939759423,0.24837641108181904,0.21598487910977401,5
0.2567800219945347,0.2567800219945347,0.25568625465802347,0.2567800219945347,0.2240595346302223,6
0.25491502350231654,0.25491502350231654,0.21928976948970802,0.25491502350231654,0.21928976948970802,7
0.1935393854699602,0.20000586363596248,0.20000586363596248,0.19589247208292374,0.19030963689193317,8
0.17505430785283713,0.17505430785283713,0.17204594326106346,0.17505430785283713,0.17565814315894773,9
0.17143535503450097,0.17143535503450097,0.16697657445833416,0.17143535503450097,0.17203919034061158,10
0.1757405227902619,0.19860975321195012,0.19860975321195012,0.1757405227902619,0.15625902019314472,11
0.168930796641969,0.1980596742317803,0.1980596742317803,0.168930796641969,0.1496198620473933,12
0.1762810360433892,0.206031474754824,0.206031474754824,0.1762810360433892,0.1762810360433892,13
0.17595525422611355,0.20899182387021198,0.20899182387021198,0.17595525422611355,0.17595525422611355,14
0.18526447615818997,0.2060745127073241,0.2060745127073241,0.18526447615818997,0.18526447615818997,15
0.18706792224539773,0.19358072807328341,0.19358072807328341,0.18706792224539773,0.18706792224539773,16
0.1691260341720311,0.19495088841792652,0.19495088841792652,0.1691260341720311,0.1691260341720311,17
0.18433989437576778,0.19481546074231681,0.19481546074231681,0.18433989437576778,0.18433989437576778,18
0.18077221674655122,0.2026365980401557,0.2026365980401557,0.18077221674655122,0.18077221674655122,19
0.18669353835336,0.20436823633537168,0.20436823633537168,0.18669353835336,0.18669353835336,20
