Full_Ensemble,No_GMM,No_KMeans,No_Hierarchical,Unweighted,k
0.744041042961211,0.744041042961211,0.744041042961211,0.744041042961211,0.744041042961211,2
0.8197476183229425,0.8197476183229425,0.8197476183229425,0.8197476183229425,0.8197476183229425,3
0.7000309977280167,0.7000309977280167,0.6981120649628358,0.7000309977280167,0.6981120649628358,4
0.60020437195168,0.60020437195168,0.5942086469808915,0.60020437195168,0.59798279605227,5
0.5750754673701115,0.575276153246766,0.5721368093664706,0.575276153246766,0.5291476484966281,6
0.557197038646417,0.557197038646417,0.5497609287329319,0.557197038646417,0.538526575676818,7
0.47029140905775324,0.47029140905775324,0.4594952318014989,0.47029140905775324,0.43201381577594167,8
0.4335064157595356,0.4335064157595356,0.41586551851870274,0.4335064157595356,0.3796067918099024,9
0.4359690311981771,0.4359690311981771,0.4240711435167028,0.4359690311981771,0.3269673612849444,10
0.4156382561696619,0.4159014479281444,0.3948089014404527,0.4159014479281444,0.32175527876688487,11
0.42307629687345333,0.42368160778198427,0.4224304216916794,0.42368160778198427,0.3800737350392078,12
0.43027844032792845,0.4266846943248844,0.42959835029869453,0.42959835029869453,0.3337638567756226,13
0.4167568547508104,0.4116979898867955,0.412096482303071,0.412096482303071,0.31437047020870584,14
0.4024683107751615,0.39853515617801866,0.40075735215051306,0.40075735215051306,0.3694299426248429,15
0.40000812675930714,0.399553985042068,0.3948696098884427,0.399553985042068,0.3446568929079382,16
0.39277979648091005,0.392325654763671,0.38606301865236475,0.392325654763671,0.3770970712914798,17
0.39088557760777803,0.3938432934031762,0.3784773090299301,0.3938432934031762,0.3855657452525122,18
0.3872847510416668,0.387793877205692,0.3747623618778119,0.387793877205692,0.3735871784778721,19
0.371892340052404,0.37769077160636483,0.3666865229962493,0.37769077160636483,0.3670894906473702,20
